Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum
57,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848547472828,213848547474871,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
58,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848547814616,213848547816579,0,2642.000000,1088.000000,1682.000000,2048.000000,8192.000000,8192.000000
59,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848548134452,213848548136615,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
60,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848548469590,213848548471633,0,2628.000000,1088.000000,1668.000000,2048.000000,8192.000000,8192.000000
61,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848548788183,213848548790347,0,2628.000000,1088.000000,1668.000000,2048.000000,8192.000000,8192.000000
62,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848549117192,213848549119316,0,4732.000000,1088.000000,1724.000000,4096.000000,8192.000000,8192.000000
63,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848549430899,213848549432982,0,4718.000000,1088.000000,1710.000000,4096.000000,8192.000000,8192.000000
64,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848549769642,213848549771685,0,4746.000000,1088.000000,1738.000000,4096.000000,32768.000000,32768.000000
65,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848550096208,213848550098291,0,4746.000000,1088.000000,1738.000000,4096.000000,32768.000000,32768.000000
66,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848550433469,213848550435672,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
